site,type,tmp_id,brw_count,species,visit,Stage,wpt,brw,lat,lon,elevation,time,date,width,height,diggings,smell,feathers,scat,nest_mat,chick_down,eggshell,runway,recent_sign,contents,cam_content,bs_content,pb_content,ctrap_content,status,est_vs_status_cam,est_vs_status_bs,In or out of site,playback_resp,obs_method,Burrow marker type,Notes,Burrowscoper
1,BP,,2,,1,Incubation,23,BP017,-54.48774903,158.940508,81.744827,13:47:03,22/11/2017,14,8,y,n,n,n,n,n,n,,,Empty,,,,,,,,,,,,Very short,
1,BP,,2,,2,Fledging,,BP017,,,,,31/01/2018,,,y,n,n,n,n,n,n,y,,0,,,,,,,,,,bs,,,
1,BP,,1,Blue Petrel,1,Incubation,27,BP018,-54.48776102,158.940495,82.201759,13:57:02,22/11/2017,,,,,,,n,n,n,,,Egg,,,,,,,,,,,,"Cold, under tussock",
1,BP,,2,,1,Incubation,26,BP019,-54.487715,158.940379,77.346672,13:53:31,22/11/2017,18,13,n,y,n,n,n,n,n,,,U,,,,,,,,,,,,,
1,BP,,2,,2,Fledging,,BP019,,,,,31/01/2018,,,y,y,n,n,n,n,n,y,,u,,,,,,,,,,bs,,,
15,BP,,2,,1,Incubation,987,BP020,-54.56112002,158.856828,30.760073,0:35:39,19/12/2017,12,9,y,n,n,n,n,n,n,,,Empty,,,,,,,,,N,BS,New - wood,Doesn't go in far,JB
15,BP,,2,,2,Fledging,,BP020,,,,,1/02/2018,,,y,n,n,n,n,n,n,y,,0,,,,,,,,,,bs,,,
1,BP,,2,Blue Petrel,1,Incubation,149,BP021,-54.48773604,158.940382,79.682716,14:09:42,22/11/2017,11,8,n,n,n,n,n,n,n,,,1Egg,,,,,,,,,N,,,,JB
1,BP,,2,Blue Petrel,2,Fledging,,BP021,,,,,31/01/2018,,,y,n,n,n,n,n,n,y,,0,,,,,,,,,,bs,,,
1,BP,,1,,1,Incubation,28,BP021a,-54.48773604,158.940382,79.682716,14:09:42,22/11/2017,21,7,n,n,n,n,n,n,n,,,U,,,,,,,,,,,,,
1,BP,,2,,1,Incubation,29,BP022,-54.48774802,158.940361,78.093933,14:18:15,22/11/2017,24,8,y,n,n,n,n,n,n,,,Empty,,,,,,,,,,,,,
1,BP,,2,,2,Fledging,,BP022,,,,,31/01/2018,,,y,n,n,n,n,n,n,y,,0,,,,,,,,,,bs,,,
1,BP,,2,,1,Incubation,30,BP023,-54.48774501,158.940439,75.346756,14:19:48,22/11/2017,12,8,n,n,n,n,n,n,n,,,Empty,,,,,,,,,,,,,
1,BP,,2,,2,Fledging,,BP023,,,,,31/01/2018,,,y,n,n,n,n,n,n,y,,0,,,,,,,,,,bs,,,
16,BP,,2,Blue Petrel,1,Early chick rearing,1208,BP024,-54.54347301,158.858793,18.832418,23:33:29,22/12/2017,14,10,y,n,n,n,n,n,n,,,C,,,,,,,,,,BS,New - wood,,JB
16,BP,,2,Blue Petrel,2,Fledging,,BP024,,,,,2/02/2018,,,y,n,n,n,n,n,n,n,y,0,,,,,,,,,,bs,,,
15,BP,,2,,1,Incubation,1010,BP025,-54.56115296,158.856692,27.87356,3:47:17,19/12/2017,11,8,y,n,n,n,n,n,n,,,Empty,,,,,,,,,N,BS,New - wood,,JB
15,BP,,2,,2,Fledging,,BP025,,,,,1/02/2018,,,n,n,n,n,n,n,n,n,,0,,,,,,,,,,bs,,,
16,BP,,2,Blue Petrel,1,Early chick rearing,1245,BP026,-54.54347201,158.85875,23.598745,1:08:49,23/12/2017,12,7,y,n,y,y,n,n,n,,,C,,,,,,,,,,BS,New - wood,,JB
16,BP,,2,Blue Petrel,2,Fledging,,BP026,,,,,2/02/2018,,,y,n,y,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
2,BP,,2,,1,Incubation,92,BP028,-54.63266199,158.898601,59.367855,10:28:29,28/11/2017,10,9,y,n,y,n,n,n,n,,,Empty,,,,,,,,,?,,,,
2,BP,,2,,2,Fledging,,BP028,,,,,7/02/2018,,,y,n,n,n,n,n,n,n,y,,,,,,,,,,,sign,,,
2,BP,,2,Blue Petrel,1,Incubation,93,BP029,-54.63268999,158.898596,58.406639,10:29:42,28/11/2017,14,9,y,y,y,n,n,n,n,,,1,,,,,,,,,n,,,,
2,BP,,2,Blue Petrel,2,Fledging,,BP029,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
2,BP,,2,,1,Incubation,91,BP030,-54.63268798,158.898616,58.062756,10:28:08,28/11/2017,13,9,y,y,y,n,n,n,n,,,Empty,,,,,,,,,,,,Burrow doesn't go anywhere,
2,BP,,2,,2,Fledging,,BP030,,,,,7/02/2018,,,y,n,y,n,n,n,n,n,y,,,,,,,,,,,sign,,,
2,BP,,2,Blue Petrel,1,Incubation,94,BP031,-54.63265303,158.898592,61.673603,10:31:29,28/11/2017,20,10,n,y,n,n,n,n,n,,,1,,,,,,,,,n,,,,
2,BP,,2,Blue Petrel,2,Fledging,,BP031,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
3,BP,,2,Blue Petrel,1,Incubation,140,BP032,-54.63251498,158.893529,27.870485,16:00:59,28/11/2017,20,13,n,n,y,n,n,n,n,,,1,,,,,,,,,N,,,,JB
3,BP,,2,Blue Petrel,2,Fledging,,BP032,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
3,BP,,2,Blue Petrel,1,Incubation,163,BP033,-54.63251598,158.893524,29.10265,17:47:18,28/11/2017,9,7,n,n,y,n,n,n,n,,,1,,,,,,,,,N,,,,JB
3,BP,,2,Blue Petrel,2,Fledging,,BP033,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
2,BP,,2,,1,Incubation,90,BP034,-54.632678,158.898627,62.972931,10:19:59,28/11/2017,12,10,y,y,y,n,n,n,n,,,Empty,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP034,,,,,7/02/2018,,,y,n,y,n,n,n,n,n,y,,,,,,,,,,,sign,,,
3,BP,,2,Blue Petrel,1,Incubation,143,BP035,-54.63248698,158.893573,24.579247,16:22:49,28/11/2017,9,8,y,y,y,n,n,n,n,,,1,,,,,,,,,N,,,,JB
3,BP,,2,Blue Petrel,2,Fledging,,BP035,,,,,4/02/2018,,,y,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
3,BP,,2,,1,Incubation,129,BP036,-54.63248103,158.893527,25.788282,15:22:19,28/11/2017,12,8,n,n,n,n,n,n,n,,,U,,,,,,,,,n,,,,JB
3,BP,,2,,2,Fledging,,BP036,,,,,4/02/2018,,,n,n,y,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
3,BP,,2,Blue Petrel,1,Incubation,122,BP037,-54.63249402,158.893504,21.863024,14:58:06,28/11/2017,14,7,n,y,n,n,n,n,n,,,1,,,occupied,,,,,,y,,,,PP
3,BP,,2,Blue Petrel,2,Fledging,,BP037,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,occupied,,,,,,,,,,
3,BP,,2,,1,Incubation,157,BP038,-54.632491,158.89351,24.767534,17:22:01,28/11/2017,7,15,y,n,y,n,n,n,n,,,Empty,,,occupied,,,,,,N,,,,JB
3,BP,,2,,2,Fledging,,BP038,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,occupied,,,,,,,bs,,,
3,BP,,2,,1,Incubation,145,BP039,-54.63250299,158.893549,25.683439,16:37:11,28/11/2017,17,8,n,n,n,n,n,n,n,,,Empty,,,,,,,,,N,,,,JB
3,BP,,2,,2,Fledging,,BP039,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,y,0,,,,,,,,,,bs,,,
3,BP,,2,,1,Incubation,127,BP040,-54.63249302,158.893535,27.081146,15:02:44,28/11/2017,13,9,y,n,n,n,n,n,n,,,Empty,,,,,,,,,n,,,,PP
3,BP,,2,,2,Fledging,,BP040,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
3,BP,,2,,1,Incubation,153,BP041,-54.63250802,158.89353,23.168528,17:06:19,28/11/2017,12,9,n,n,n,n,n,n,n,,,Empty,,,,,,,,,N,,,,JB
3,BP,,2,,2,Fledging,,BP041,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
3,BP,,2,,1,Incubation,117,BP042,-54.63250198,158.893576,27.026659,14:46:11,28/11/2017,19,9,y,n,n,y,n,n,n,,,,,,,,,,,,n,,,Not a burrow,
3,BP,,2,,2,Fledging,,BP042,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,,,,
3,BP,,1,,1,Incubation,155,BP042a,-54.63250198,158.893576,27.026659,14:46:11,28/11/2017,13,7,n,y,n,y,n,n,n,,,U,,,,,,,,,N,,,,JB
3,BP,,2,Blue Petrel,1,Incubation,142,BP043,-54.63250299,158.893581,24.752131,16:14:24,28/11/2017,13,7,n,n,n,n,n,n,n,,,1,,,,,,,,,N,,,,JB
3,BP,,2,Blue Petrel,2,Fledging,,BP043,,,,,4/02/2018,,,n,n,y,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
3,BP,,1,,1,Incubation,128,BP044,-54.632491,158.893537,25.291048,15:18:50,28/11/2017,14,10,n,n,n,n,n,n,n,,,Empty,,,,,,,,,n,,,,PP
3,BP,,2,,1,Incubation,135,BP045,-54.63251104,158.893447,25.940634,15:42:24,28/11/2017,9,7,y,y,n,n,n,n,n,,,U,,,,,,,,,N,,,,JB
3,BP,,2,,2,Fledging,,BP045,,,,,4/02/2018,,,y,n,n,n,n,y,n,n,y,0,,,,,,,,,,bs,,,
3,BP,,2,,1,Incubation,133,BP046,-54.63250802,158.893504,33.024849,15:32:35,28/11/2017,23,15,n,n,n,n,n,n,n,,,U,,,,,,,,,n,,,,PP
3,BP,,2,,2,Fledging,,BP046,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
3,BP,,1,Blue Petrel,1,Incubation,130,BP047,-54.63248304,158.893482,28.720045,15:23:37,28/11/2017,15,8,y,y,y,n,n,n,n,,,1,,,occupied,,,,,,y,,,,PP
3,BP,,2,Blue Petrel,1,Incubation,134,BP048,-54.63250299,158.893554,25.49428,15:41:47,28/11/2017,13,7,y,n,n,n,n,n,n,,,1,,,,,,,,,N,,,,JB
3,BP,,2,Blue Petrel,2,Fledging,,BP048,,,,,4/02/2018,,,y,n,y,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
3,BP,,2,,1,Incubation,126,BP049,-54.63248799,158.893535,27.420784,15:02:42,28/11/2017,12,9,y,n,n,n,n,n,n,,,Empty,,,,,,,,,n,,,,PP
3,BP,,2,,2,Fledging,,BP049,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
3,BP,,2,,1,Incubation,139,BP050,-54.63251196,158.893553,26.078501,16:00:24,28/11/2017,16,8,y,n,y,n,n,n,n,,,Empty,,,,,,,,,N,,,,JB
3,BP,,2,,2,Fledging,,BP050,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
3,BP,,2,,1,Incubation,123,BP051,-54.63249603,158.893532,22.433859,14:59:42,28/11/2017,15,8,n,y,n,n,n,n,n,,,Empty,,,,,,,,,n,,,,PP
3,BP,,2,,2,Fledging,,BP051,,,,,4/02/2018,,,n,n,y,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
2,BP,,2,Blue Petrel,1,Incubation,100,BP052,-54.63262604,158.898585,63.682446,10:54:57,28/11/2017,14,5,y,y,y,n,n,n,n,,,1,,,,,,,,,n,,,,
2,BP,,2,Blue Petrel,2,Fledging,,BP052,,,,,7/02/2018,,,y,n,n,n,n,n,n,n,y,,,,,,,,,,,sign,,,
3,BP,,2,Blue Petrel,1,Incubation,138,BP053,-54.63251104,158.893546,25.489496,15:59:58,28/11/2017,13,8,y,n,n,n,n,n,n,,,1,,,occupied,,,,,,N,,,,JB
3,BP,,2,Blue Petrel,2,Fledging,,BP053,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,occupied,,,,,,,bs,,,
3,BP,,2,Blue Petrel,1,Incubation,141,BP054,-54.63249603,158.893547,24.957766,16:14:18,28/11/2017,16,8,n,n,n,n,n,n,n,,,1,,,occupied,,,,,,Y,,,,JB
3,BP,,2,Blue Petrel,2,Fledging,,BP054,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
2,BP,,2,,1,Incubation,88,BP055,-54.63266602,158.898648,60.89138,10:15:10,28/11/2017,13,9,n,y,n,n,n,n,n,,,Empty,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP055,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
2,BP,,2,,1,Incubation,108,BP056,-54.63266702,158.898469,61.582851,12:34:29,28/11/2017,13,10,y,y,n,n,n,n,n,,,U,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP056,,,,,7/02/2018,,,y,n,n,n,n,n,n,n,y,,,,,,,,,,,sign,,,
2,BP,,2,,1,Incubation,106,BP057,-54.63265101,158.898581,58.960434,12:29:40,28/11/2017,,,n,n,y,n,n,n,n,,,Empty,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP057,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
3,BP,,2,,1,Incubation,119,BP058,-54.63251296,158.893593,27.127207,14:49:11,28/11/2017,13,10,n,n,n,n,n,n,n,,,Empty,,,,,,,,,n,,,,PP
3,BP,,2,,2,Fledging,,BP058,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,,,,
2,BP,,2,,1,Incubation,87,BP059,-54.63265898,158.898644,62.194107,10:13:47,28/11/2017,21,8,n,y,n,y,n,n,n,,,Empty,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP059,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
3,BP,,2,Blue Petrel,1,Incubation,132,BP060,-54.63249603,158.89348,31.45657,15:30:54,28/11/2017,13,8,y,y,n,n,n,n,n,,,1,,,,,,,,,n,,,,JB
3,BP,,2,Blue Petrel,2,Fledging,,BP060,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
2,BP,,2,,1,Incubation,111,BP061,-54.63264699,158.8985,62.691437,12:49:25,28/11/2017,10,9,n,n,n,n,n,n,n,,,Empty,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP061,,,,,7/02/2018,,,y,n,y,n,n,n,n,n,y,,,,,,,,,,,sign,,,
4,BP,,2,Blue Petrel,1,Incubation,178,BP062,-54.63203796,158.897045,29.906729,10:06:44,29/11/2017,12,7,y,n,y,n,n,n,n,,,1,,,occupied,,,,,,N,,,,JB
4,BP,,2,Blue Petrel,2,Fledging,,BP062,,,,,7/02/2018,,,y,y,y,n,n,n,n,n,y,,,,occupied,,,,,,,sign,,,
3,BP,,2,,1,Incubation,148,BP063,-54.632548,158.893613,24.983217,16:45:52,28/11/2017,14,7,n,n,n,n,n,n,n,,,Empty,,,,,,,,,N,,,,JB
3,BP,,2,,2,Fledging,,BP063,,,,,4/02/2018,,,y,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
3,BP,,2,,1,Incubation,131,BP064,-54.63248597,158.893479,28.474413,15:23:40,28/11/2017,12,7,n,n,n,n,n,n,n,,,Empty,,,,,,,,,n,,,,PP
3,BP,,2,,2,Fledging,,BP064,,,,,4/02/2018,,,y,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
2,BP,,2,,1,Incubation,99,BP065,-54.63263702,158.89862,61.268967,10:53:26,28/11/2017,12,9,y,y,y,n,n,n,n,,,U,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP065,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
3,BP,,2,,1,Incubation,144,BP066,-54.63252696,158.893571,25.345425,16:32:36,28/11/2017,11,9,y,n,n,n,n,n,n,,,Empty,,,,,,,,,N,,,,JB
3,BP,,2,,2,Fledging,,BP066,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,y,0,,,,,,,,,,bs,,,
3,BP,,2,,1,Incubation,118,BP067,-54.63250198,158.893586,26.954538,14:46:14,28/11/2017,13,9,y,n,n,y,n,n,n,,,Empty,,,,,,,,,n,,,,PP
3,BP,,2,,2,Fledging,,BP067,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,,,,
2,BP,,2,,1,Incubation,112,BP068,-54.63265303,158.898497,61.677555,12:49:40,28/11/2017,12,9,n,n,y,n,n,n,n,,,Empty,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP068,,,,,7/02/2018,,,y,n,n,n,n,n,n,n,y,,,,,,,,,,,sign,,,
2,BP,,2,Blue Petrel,1,Incubation,86,BP069,-54.63266702,158.898626,59.966621,10:12:39,28/11/2017,12,8,n,y,y,n,n,n,n,,,1,,,,,,,,,n,,,,
2,BP,,2,Blue Petrel,2,Fledging,,BP069,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
3,BP,,1,,1,Incubation,125,BP070,-54.63249,158.893524,27.580799,15:02:38,28/11/2017,11,9,y,y,n,n,n,n,n,,,Empty,,,,,,,,,n,,Not a burrow,,PP
2,BP,,2,,1,Incubation,89,BP071,-54.63265504,158.898618,60.074032,10:16:40,28/11/2017,13,10,n,y,y,n,n,n,n,,,Empty,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP071,,,,,7/02/2018,,,y,n,n,n,n,n,n,n,y,,,,,,,,,,,sign,,,
2,BP,,2,Blue Petrel,1,Incubation,97,BP072,-54.63268697,158.898592,62.800713,10:44:30,28/11/2017,14,10,y,y,n,n,n,n,n,,,1,,,,,,,,,n,,,,
2,BP,,2,Blue Petrel,2,Fledging,,BP072,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
2,BP,,2,,1,Incubation,104,BP073,-54.63265403,158.898596,59.826527,11:56:24,28/11/2017,,,n,n,n,n,n,n,n,,,U,,,,,,,,,n,,,Same entrance as 079,
2,BP,,2,,2,Fledging,,BP073,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
2,BP,,2,Blue Petrel,1,Incubation,105,BP074,-54.632648,158.898593,60.872154,12:02:36,28/11/2017,13,12,n,y,n,n,n,n,n,,,Egg,,,,,,,,,n,,,Cold egg,
2,BP,,2,Blue Petrel,2,Fledging,,BP074,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
2,BP,,2,,1,Incubation,107,BP075,-54.63265797,158.898559,57.398361,12:32:37,28/11/2017,13,10,n,n,n,n,n,n,n,,,Empty,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP075,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
2,BP,,2,,1,Incubation,101,BP076,-54.63262201,158.898591,62.921158,10:57:07,28/11/2017,12,7,n,n,n,n,n,n,n,,,U,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP076,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
2,BP,,2,,1,Incubation,96,BP077,-54.63267197,158.898592,60.745399,10:35:46,28/11/2017,16,10,y,n,n,n,n,n,n,,,Empty,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP077,,,,,7/02/2018,,,y,n,n,n,n,n,n,n,y,,,,,,,,,,,sign,,,
2,BP,,2,Blue Petrel,1,Incubation,98,BP078,-54.63267297,158.8986,64.037918,10:46:44,28/11/2017,10,8,n,n,n,n,n,n,n,,,1,,,,,,,,,n,,,,
2,BP,,2,Blue Petrel,2,Fledging,,BP078,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
2,BP,,2,,1,Incubation,102,BP079,-54.63267197,158.898591,63.186012,10:58:40,28/11/2017,13,10,n,n,n,n,n,n,n,,,U,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP079,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
3,BP,,2,,1,Incubation,124,BP080,-54.63249897,158.893532,24.445877,15:00:00,28/11/2017,12,8,y,y,y,n,n,n,n,,,Empty,,,occupied,,,,,,n,,,,PP
3,BP,,2,,2,Fledging,,BP080,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,occupied,,,,,,,bs,,,
2,BP,,2,,1,Incubation,103,BP081,-54.632691,158.898568,59.738754,11:49:21,28/11/2017,,,n,n,n,n,n,n,n,,,,,,,,,,,,n,,,Same entrance as 072,
2,BP,,2,,2,Fledging,,BP081,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
3,BP,,1,,2,Fledging,,BP082,,,,,4/02/2018,,,y,n,n,n,n,n,n,n,y,u,,,,,,,,,,,,,
5,BP,,2,,1,Incubation,217,BP083,-54.63217299,158.897144,43.981529,16:40:31,29/11/2017,13,11,n,n,n,n,n,n,n,,,U,,,occupied,,,,,,N,,,,JB
5,BP,,2,,2,Fledging,,BP083,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,occupied,,,,,,,sign,,,
2,BP,,2,,1,Incubation,95,BP084,-54.63267096,158.898602,62.219048,10:33:31,28/11/2017,15,10,y,n,n,n,n,n,n,,,U,,,,,,,,,?,,,,
2,BP,,2,,2,Fledging,,BP084,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
3,BP,,2,,1,Incubation,147,BP085,-54.63253199,158.893594,27.485268,16:41:23,28/11/2017,10,7,y,n,y,n,n,n,n,,,Empty,,,,,,,,,N,,,,JB
3,BP,,2,,2,Fledging,,BP085,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,y,0,,,,,,,,,,bs,,,
3,BP,,2,Blue Petrel,1,Incubation,159,BP086,-54.63249,158.893497,28.785761,17:33:20,28/11/2017,16,10,n,y,y,n,n,n,n,,,1,,,,,,,,,N,,,,JB
3,BP,,2,Blue Petrel,2,Fledging,,BP086,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
4,BP,,2,,1,Incubation,182,BP087,-54.63203997,158.897048,31.508541,10:21:51,29/11/2017,20,8,n,n,n,n,n,n,n,,,Empty,,,,,,,,,N,,,Same hole as 130,JB
4,BP,,2,,2,Fledging,,BP087,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
4,BP,,2,,1,Incubation,169,BP088,-54.63202899,158.897032,32.63102,9:37:38,29/11/2017,17,9,n,n,n,n,n,n,n,,,Empty,,,,,,,,,N,,,,JB
4,BP,,2,,2,Fledging,,BP088,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
5,BP,,2,Blue Petrel,1,Incubation,213,BP089,-54.63216696,158.897209,40.557274,16:31:39,29/11/2017,12,8,n,n,y,n,n,n,n,,,UEgg,,,,,,,,,N,,,Couldn't see adult,JB
5,BP,,2,Blue Petrel,2,Fledging,,BP089,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
3,BP,,2,Blue Petrel,1,Incubation,162,BP090,-54.63251498,158.893515,24.746668,17:43:50,28/11/2017,10,7,n,n,n,n,n,n,n,,,1,,,,,,,,,N,,,,JB
3,BP,,2,Blue Petrel,2,Fledging,,BP090,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
3,BP,,2,,1,Incubation,156,BP091,-54.63250299,158.893541,22.454578,17:17:36,28/11/2017,10,10,y,n,n,n,n,n,n,,,Empty,,,occupied,,,,,,N,,,,JB
3,BP,,2,,2,Fledging,,BP091,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,occupied,,,,,,,,,,
3,BP,,2,,1,Incubation,136,BP092,-54.632504,158.893532,25.371565,15:42:28,28/11/2017,12,9,y,y,y,n,n,n,n,,,U,,,occupied,,,,,,N,,,,JB
3,BP,,2,,2,Fledging,,BP092,,,,,4/02/2018,,,y,n,n,n,n,n,n,n,y,0,,,occupied,,,,,,,bs,,,
3,BP,,2,,1,Incubation,120,BP093,-54.63252696,158.893613,25.335907,14:50:19,28/11/2017,14,7,y,y,n,n,n,n,n,,,Empty,,,,,,,,,n,,,,PP
3,BP,,2,,2,Fledging,,BP093,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,y,0,,,,,,,,,,,,,
2,BP,,2,,1,Incubation,110,BP094,-54.632678,158.898493,57.528324,12:48:10,28/11/2017,12,7,n,n,n,n,n,n,n,,,U,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP094,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
3,BP,,2,Blue Petrel,1,Incubation,137,BP095,-54.63244197,158.893398,39.852306,15:44:49,28/11/2017,18,17,n,n,y,n,n,n,n,,,1,,,,,,,,,N,,,,JB
3,BP,,2,Blue Petrel,2,Fledging,,BP095,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,y,0,,,,,,,,,,bs,,,
3,BP,,2,,1,Incubation,158,BP096,-54.63250098,158.893507,26.3787,17:28:02,28/11/2017,10,8,n,n,n,n,n,n,n,,,Empty,,,,,,,,,N,,,,JB
3,BP,,2,,2,Fledging,,BP096,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,bs,,,
3,BP,,2,,1,Incubation,151,BP097,-54.63248103,158.893554,26.309286,17:04:20,28/11/2017,8,8,n,n,n,n,n,n,n,,,Empty,,,,,,,,,N,,,,JB
3,BP,,2,,2,Fledging,,BP097,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,,,,
2,BP,,2,,1,Incubation,109,BP098,-54.63265596,158.898512,60.550388,12:44:57,28/11/2017,15,7,n,n,n,n,n,n,n,,,Empty,,,,,,,,,n,,,,
2,BP,,2,,2,Fledging,,BP098,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
4,BP,,2,,1,Incubation,170,BP099,-54.63202598,158.897028,33.278896,9:37:43,29/11/2017,11,12,y,n,n,n,n,n,n,,,Empty,,,,,,,,,N,,,,JB
4,BP,,2,,2,Fledging,,BP099,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
3,BP,,2,Blue Petrel,1,Incubation,161,BP100,-54.63251296,158.893534,27.177,17:39:22,28/11/2017,15,12,y,n,n,n,n,n,n,,,1,,,,,,,,,N,,,,JB
3,BP,,2,Blue Petrel,2,Fledging,,BP100,,,,,4/02/2018,,,n,n,n,n,n,n,n,n,n,0,,,,,,,,,,,,,
4,BP,,2,,1,Incubation,171,BP101,-54.63202799,158.897032,33.855019,9:37:59,29/11/2017,18,7,n,n,n,n,n,n,n,,,Empty,,,,,,,,,N,,,,JB
4,BP,,2,,2,Fledging,,BP101,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,sign,,,
4,BP,,2,,1,Incubation,186,BP102,-54.63206897,158.897013,34.433025,10:30:49,29/11/2017,15,8,y,n,y,n,n,n,n,,,U,,,occupied,,,,,,N,,,,JB
4,BP,,2,,2,Fledging,,BP102,,,,,7/02/2018,,,n,n,n,n,n,n,n,n,n,,,,occupied,,,,,,,sign,,,
