site,type,tmp_id,brw_count,species,visit,Stage,wpt,brw,lat,lon,elevation,time,date,width,height,diggings,smell,feathers,scat,nest_mat,chick_down,eggshell,runway,recent_sign,contents,cam_content,bs_content,pb_content,ctrap_content,status,est_vs_status_cam,est_vs_status_bs,In or out of site,playback_resp,obs_method,Burrow marker type,Notes,Burrowscoper
PLBC1,AP,,1,,1,Incubation,1374,AP151,-54.58842197,158.894486,172.867905,4:43:32,3/01/2018,40,16,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLBC2,AP,,1,,1,Incubation,1413,AP152,-54.58788997,158.893226,186.014694,5:52:15,3/01/2018,25,8,y,n,y,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1,AP,,1,,1,Incubation,1392,AP154,-54.58824,158.893336,183.778748,5:27:37,3/01/2018,21,11,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1,AP,,1,,1,Incubation,1381,AP156,-54.58870201,158.894001,174.869385,4:56:38,3/01/2018,14,12,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLBC1,AP,,1,,1,Incubation,1378,AP157,-54.58864996,158.894026,171.737762,4:52:43,3/01/2018,22,8,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1,AP,,1,Antarctic Prion,1,Incubation,1383,AP158,-54.58867201,158.893998,176.958954,4:59:30,3/01/2018,13,20,n,n,y,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLC1,AP,,1,,1,Incubation,1389,AP159,-54.58872599,158.89395,176.759995,5:09:04,3/01/2018,16,6,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLAB2,AP,,1,,1,Incubation,1425,AP160,-54.58811503,158.893981,178.220032,6:22:02,3/01/2018,13,10,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1,AP,,1,Antarctic Prion,1,Incubation,1369,AP161,-54.588067,158.895055,166.981232,4:27:48,3/01/2018,15,13,n,n,n,y,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLA1.5,AP,,1,Antarctic Prion,1,Incubation,1366,AP162,-54.58796902,158.894897,167.746643,4:19:50,3/01/2018,16,11,n,n,n,y,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLA1.5,AP,,1,,1,Incubation,1356,AP163,-54.58782904,158.894789,165.431946,4:08:57,3/01/2018,23,11,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,1,,1,Incubation,1357,AP164,-54.58794203,158.894784,168.403732,4:10:14,3/01/2018,17,10,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,1,Antarctic Prion,1,Incubation,1358,AP165,-54.58791303,158.894754,169.690628,4:11:01,3/01/2018,16,11,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLC1,AP,,1,,1,Incubation,1390,AP166,-54.58872297,158.893961,180.221207,5:24:41,3/01/2018,7,20,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1,AP,,1,,1,Incubation,1368,AP168,-54.58804202,158.895052,166.277451,4:25:57,3/01/2018,23,9,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,1,,1,Incubation,1362,AP169,-54.58793398,158.894712,169.212296,4:14:47,3/01/2018,30,15,n,n,y,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,1,,1,Incubation,1359,AP170,-54.58790598,158.894757,174.82338,4:12:02,3/01/2018,26,11,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,2,Antarctic Prion,1,Incubation,1325,AP171,-54.58742201,158.894146,171.918106,3:16:35,3/01/2018,13,9,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLA1.5,AP,,2,Antarctic Prion,2,Early chick rearing,,AP171,,,,,21/02/2018,,,n,n,n,n,n,n,n,,,0,,,,,,,,,,BS,,,
PLA2,AP,,2,,1,Incubation,1321,AP172,-54.58738103,158.894091,171.400833,3:03:00,3/01/2018,17,10,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA2,AP,,2,,2,Early chick rearing,,AP172,,,,,21/02/2018,,,n,n,n,n,n,n,n,,,U,,,,,,,,,,BS,,,
PLA1.5,AP,,1,Antarctic Prion,1,Incubation,1330,AP173,-54.58751103,158.894223,174.531403,3:26:23,3/01/2018,16,13,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLA1.5,AP,,1,Antarctic Prion,1,Incubation,1334,AP174,-54.58765,158.894373,174.009216,3:33:46,3/01/2018,9,10,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLA2,AP,,2,,1,Incubation,1319,AP175,-54.58736401,158.894073,170.360107,2:58:39,3/01/2018,13,8,y,n,y,y,n,n,n,,,,,,,,,,,,N,,,,
PLA2,AP,,2,,2,Early chick rearing,,AP175,,,,,21/02/2018,,,y,y,n,n,n,n,n,,,U,,,,,,,,,,BS,,,
PLA1.5,AP,,2,Antarctic Prion,1,Incubation,1331,AP176,-54.58754799,158.894286,174.406006,3:27:14,3/01/2018,13,10,n,n,n,n,n,n,n,,,1,,,,,,,,,N,,,,
PLA1.5,AP,,2,Antarctic Prion,2,Early chick rearing,,AP176,,,,,21/02/2018,,,y,n,n,n,n,n,n,,,U,,,,,,,,,,BS,,,
PLA2,AP,,1,,1,Incubation,1316,AP177,-54.58734901,158.894084,170.251083,2:53:10,3/01/2018,20,13,n,n,n,n,n,n,n,,,U,,,,,,,,,N,,,,
PLC1,AP,,1,Antarctic Prion,1,Incubation,1382,AP178,-54.588685,158.893998,175.914841,4:57:55,3/01/2018,17,11,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLA1.5,AP,,1,,1,Incubation,1333,AP179,-54.58765402,158.894376,174.629776,3:32:37,3/01/2018,8,7,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,2,Antarctic Prion,1,Incubation,1329,AP180,-54.58751396,158.894238,172.722321,3:26:03,3/01/2018,15,12,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLA1.5,AP,,2,Antarctic Prion,2,Early chick rearing,,AP180,,,,,21/02/2018,,,n,n,n,n,n,n,n,,,0,,,,,,,,,,BS,,,
PLA2,AP,,2,,1,Incubation,1320,AP181,-54.58737901,158.894116,170.463989,3:00:48,3/01/2018,16,12,y,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA2,AP,,2,,2,Early chick rearing,,AP181,,,,,21/02/2018,,,y,n,y,n,n,n,n,,,U,,,,,,,,,,BS,,,
PLA2,AP,,2,,1,Incubation,1317,AP182,-54.58735504,158.894104,169.16658,2:55:26,3/01/2018,12,12,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
